,ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
10491,tt0352485,Kanikanum Neram,1987,-,-,-,-,malayalam
10498,tt4731570,It Happened Tomorrow,2009 Video,-,-,-,"Short, Sci-Fi            ",malayalam
10509,tt0255706,Yakshi,1968,-,7.7,42,Thriller            ,malayalam
10535,tt11259556,Upama,2019,82 min,8.3,7,Drama            ,malayalam
10558,tt0271678,No: 20 Madras Mail,1990,177 min,7.7,"1,074","Comedy, Crime, Drama            ",malayalam
10571,-,Marathon Aarum pedikanda odikko,2021,100 min,-,-,Comedy            ,malayalam
10572,tt3006076,Thank You,2013,-,5.3,79,Crime            ,malayalam
10578,tt0269672,Oru Kochukatha Aarum Parayatha Katha,1984,126 min,-,-,Drama            ,malayalam
10580,tt0271354,Adayalam,1991,136 min,6.4,100,"Crime, Mystery, Thriller            ",malayalam
10584,tt3688898,My Brother Rushi,2013,14 min,-,-,"Short, Drama            ",malayalam
10593,tt4818776,Lens,IV 2016,109 min,6.8,"1,100","Drama, Mystery, Thriller            ",malayalam
10595,tt11932400,Belated SMS,2015,-,-,-,"Short, Drama            ",malayalam
10598,tt8175866,Shadow,III 2018,94 min,-,-,Horror            ,malayalam
10603,tt0271985,Balapareekshanam,1978,-,-,-,-,malayalam
10607,tt6231840,Ayaal Sassi,2017,122 min,5.6,83,"Comedy, Drama            ",malayalam
10611,tt0332833,Yowana Daaham,1980,-,-,-,-,malayalam
10613,tt14497392,Sujatha Mohan: Neelaambale,2021 Video,4 min,-,-,"Short, Music            ",malayalam
10615,tt10014412,Parasparam,2013–2018,-,3.5,20,Family            ,malayalam
10641,tt0315803,Bandham,1983,-,6.0,5,-,malayalam
10646,tt0430510,Rain Rain Come Again,2004,-,3.9,62,"Action, Crime, Thriller            ",malayalam
10661,tt7062022,Fugue,III 2017,17 min,8.6,5,"Short, Drama, Romance            ",malayalam
10685,tt0345715,Nokkukuthi,1983,-,-,-,-,malayalam
10687,tt0216319,Ulsavapittennu,1989,113 min,7.0,179,"Drama, Romance            ",malayalam
10699,tt7504214,AA BB KK,2018,121 min,8.3,246,Drama            ,malayalam
10705,tt0356085,Sukhavasam,1996,-,-,-,-,malayalam
10708,tt4746074,Superstar Santhosh Pandit,2012,-,3.3,13,Drama            ,malayalam
10715,tt0354071,Suthram,1994,-,-,-,-,malayalam
10717,tt7857800,Orumani Krithyam,2016,15 min,-,-,"Short, Drama            ",malayalam
10719,tt12740682,45 Seconds,2017,-,-,-,"Short, Thriller            ",malayalam
10724,tt6921450,Viswasapoorvam Mansoor,2017,112 min,6.0,52,Drama            ,malayalam
10734,tt0278571,Mouna Daaham,1990,-,-,-,Romance            ,malayalam
10735,tt12827664,Chithrasalabhangalude Veedu,2008,113 min,-,-,Drama            ,malayalam
10740,tt13860146,Track,2012,108 min,-,-,Sport            ,malayalam
10751,tt12428242,I Promise Ria,2019–2020,-,9.1,7,Romance            ,malayalam
10775,tt0271478,Ee Lokam Ivide Kure Manushyar,1985,-,6.7,21,"Action, Drama            ",malayalam
10785,tt5906392,Thondi Muthalum Driksakshiyum,2017,135 min,8.2,"4,799","Crime, Drama, Thriller            ",malayalam
10788,tt6954168,Utharam Parayaathe,2017,130 min,-,-,"Drama, Thriller            ",malayalam
10789,tt0279499,Vandikkari,1974,-,-,-,-,malayalam
10795,tt2257468,Condom Kadha,2008,-,-,-,"Short, Comedy            ",malayalam
10814,tt1447780,Currency,2009,-,5.2,97,Comedy            ,malayalam
10818,tt0333623,Inaye Thedi,1981,-,-,-,-,malayalam
10819,tt0275654,Sasneham,1990,146 min,7.4,86,"Comedy, Drama            ",malayalam
10833,tt5920132,The Love of Brother,2017,-,-,-,"Short, Family            ",malayalam
10849,tt0353162,Addeham Enna Iddeham,1993,-,6.2,25,-,malayalam
10865,tt0273150,Chitrashalabham,1998,117 min,6.0,36,"Comedy, Drama            ",malayalam
10870,tt0353562,Irikku M.D. Akathundu,1991,-,5.5,20,"Mystery, Thriller            ",malayalam
10872,tt5533990,Marubhoomiyile Aana,2016,122 min,5.1,325,Comedy            ,malayalam
10899,tt14498270,Haricharan & Roshni Suresh: Mazha,2018 Video,4 min,-,-,"Short, Music            ",malayalam
10910,tt0268902,Aksharangal,1984,-,7.9,34,-,malayalam
10911,-,Ennittu Avasanam,2021,-,-,-,Comedy            ,malayalam
10912,tt0345481,Kakka,1982,-,6.2,18,-,malayalam
10918,tt0271856,Upaharam,1985,108 min,5.9,8,Drama            ,malayalam
10940,tt0271739,Purappad,1990,-,5.6,28,-,malayalam
10949,tt0281382,Yaksha Gaanam,1976,133 min,-,-,-,malayalam
10951,tt14434164,Vidooshakan,2015,-,-,-,Drama            ,malayalam
10953,-,Sapno Ki Rani,,-,-,-,-,malayalam
10954,tt0237634,Radha Madhavam,1990,-,4.3,12,-,malayalam
10960,tt0345517,Kingini Kombu,1983,-,-,-,-,malayalam
10965,-,The Last Two Days,,-,-,-,Thriller            ,malayalam
10966,tt4353962,Mariyam Mukku,2015,-,4.2,142,Drama            ,malayalam
10978,tt5597452,Idavappathi,2016,115 min,4.1,10,"Drama, Romance            ",malayalam
10982,tt0315743,Aashrayam,1983,-,-,-,-,malayalam
10995,tt0448805,Thaskara Veeran,2005,-,2.7,193,"Action, Comedy, Romance            ",malayalam
11030,tt1572776,Moz & Cat,2009,156 min,2.6,155,"Comedy, Drama            ",malayalam
11039,tt9332608,Papas,2018,152 min,-,-,Drama            ,malayalam
11054,tt0292041,Kaliya Mardanam,1982,-,6.1,11,-,malayalam
11065,tt6260318,10 Kalpanakal,2016,125 min,5.7,131,"Crime, Mystery, Thriller            ",malayalam
11081,tt4887400,32aam Adhyayam 23aam Vaakyam,2015,116 min,5.6,173,"Mystery, Thriller            ",malayalam
11085,tt0240787,Panimudakku,1972,120 min,-,-,-,malayalam
11102,tt9230252,Noolu,2018,-,-,-,"Short, Drama            ",malayalam
11104,tt0330494,John Jaffer Janardhanan,1982,-,6.0,17,"Action, Crime, Drama            ",malayalam
11122,tt10136880,Valiyaperunnal,2019,188 min,4.9,295,"Drama, Thriller            ",malayalam
11130,tt0281567,Allahu Akbar,1977,141 min,6.2,15,"Comedy, Musical, Romance            ",malayalam
11145,tt0266498,Ee Ganam Marakkumo,1978,-,-,-,-,malayalam
11156,tt0273096,Asuravamsam,1997,-,6.0,22,Action            ,malayalam
11164,tt0292323,Vazhiyorakkazhchakal,1987,134 min,6.2,89,"Action, Drama            ",malayalam
11165,tt5299266,Smart Boys,2016,-,-,-,Romance            ,malayalam
11166,tt10337582,6 Hours,II 2020,-,-,-,Thriller            ,malayalam
11182,tt7382730,Luca,2019,151 min,7.4,"1,414","Drama, Mystery, Romance            ",malayalam
11187,tt0316098,Kawmaram,2001,-,-,-,-,malayalam
11200,tt13881514,Arrangement Kalyanam,2019,19 min,8.0,11,"Short, Comedy            ",malayalam
11210,tt0255335,Madatharuvi,1967,-,-,-,-,malayalam
11233,tt12107050,"Back then, when I started walking...",2019,14 min,-,-,"Short, Drama            ",malayalam
11238,tt0351833,Thadangal Paalayam,1984,-,-,-,-,malayalam
11246,tt3890286,Last Call,VIII 2014,7 min,-,-,"Short, Drama            ",malayalam
11256,tt8237578,Boyhood,2019,-,-,-,Short            ,malayalam
11262,tt13914856,Magic Magic 3D,2003,105 min,-,-,Drama            ,malayalam
11276,tt2595878,Oru Kutty Chodyam (A Little Question),2012,24 min,6.4,16,"Short, Adventure, Comedy            ",malayalam
11294,tt0255268,James Bond,1999,-,5.1,144,Comedy            ,malayalam
11305,tt0233331,Bharya,1962,128 min,6.7,9,Drama            ,malayalam
11323,-,Tick Tock,IV,122 min,-,-,Drama            ,malayalam
11355,tt4117128,Weeping Boy,2013,89 min,5.7,11,Drama            ,malayalam
11357,tt0320379,Rowdy Rajamma,1977,-,-,-,-,malayalam
11367,tt0254121,Arakkillam,1967,-,-,-,-,malayalam
11370,tt14502576,Vijay Yesudas: Pakalaay,2019 Video,5 min,-,-,"Short, Music            ",malayalam
11377,tt0481146,Niseedhini,2004,-,-,-,Horror            ,malayalam
11384,tt4035232,Thaniye,2007,112 min,-,-,Drama            ,malayalam
11397,-,Janeman,,-,-,-,Drama            ,malayalam
11402,-,Viral 2019,,-,-,-,Comedy            ,malayalam
11406,tt13640992,Radha Krishna,2020,-,-,-,Short            ,malayalam
11408,tt5769518,Mullassery Madhavan Kutty Nemom P. O.,2012,-,4.2,5,Drama            ,malayalam
11422,tt2284964,Adimadhyantham,2011,104 min,-,-,-,malayalam
11424,tt10183682,Kuttymama,2019,134 min,4.7,106,"Comedy, Drama, Family            ",malayalam
11430,tt7825942,Chathurangal: Rectangular Frames,2017,25 min,-,-,"Short, Crime, Drama            ",malayalam
11440,tt1810528,Adv. Lakshmanan Ladies Only,2010,121 min,2.4,24,"Comedy, Drama            ",malayalam
11446,tt0317410,Ee Yugam,1983,-,-,-,-,malayalam
11456,tt7091418,Crossroad,2017,168 min,5.0,34,Drama            ,malayalam
11476,tt10305994,Killikurushiyile Kudumba Mela,1997,-,4.9,7,Family            ,malayalam
11482,tt0271589,Kanathaya Penkutty,1985,105 min,7.0,94,"Crime, Mystery            ",malayalam
11497,tt1102283,Nanma,2007,-,-,-,-,malayalam
11509,tt0271386,Avidathepole Ivideyum,1985,127 min,7.3,68,"Drama, Family            ",malayalam
11510,tt4305802,Ormayundo Ee Mukham,2014,-,5.6,271,"Drama, Romance            ",malayalam
11511,tt0353020,Yaagagni,1987,-,-,-,-,malayalam
11522,tt3634622,Olipporu,2013,109 min,3.1,40,"Drama, Fantasy            ",malayalam
11527,tt0404399,Saphalam,2003,-,4.8,8,Drama            ,malayalam
11532,tt0311607,Oppol,1980,143 min,7.3,35,Drama            ,malayalam
11535,tt5346970,Kadhantharam,2016,-,5.0,5,Drama            ,malayalam
11547,tt0279237,Moham,1974,-,-,-,-,malayalam
11553,tt0321389,Bharthavudyogam,2001,-,3.2,25,"Comedy, Drama            ",malayalam
11562,tt0378542,Pattanathil Sundaran,2003,147 min,4.7,163,"Comedy, Drama            ",malayalam
11563,tt11209912,Bhayam,II 2019,114 min,-,-,"Horror, Thriller            ",malayalam
11565,tt0277673,Dhriksakshi,1973,-,-,-,-,malayalam
11580,tt12808568,Mukku,2020,25 min,-,-,"Short, Crime            ",malayalam
11586,tt6581440,Adam Joan,2017,160 min,6.5,"1,415","Romance, Thriller            ",malayalam
11590,tt0323769,Rasaleela,2001,-,-,-,-,malayalam
11645,tt8286934,In the Name of Love!,2020,52 min,-,-,"Documentary, Crime, News            ",malayalam
11661,-,Oruthee,,-,-,-,Drama            ,malayalam
11667,tt0237479,Mutharamkunnu P.O.,1985,136 min,7.0,159,"Comedy, Drama, Romance            ",malayalam
11669,tt3674116,Ring Master,2014,155 min,4.6,402,"Drama, Romance            ",malayalam
11672,-,Qurbaani,,-,-,-,Thriller            ,malayalam
11698,tt0353711,Manmadha Saranghal,1991,-,-,-,-,malayalam
11701,tt0214944,Mela,1980,123 min,7.6,47,Drama            ,malayalam
11702,tt1545976,Angel John,2009,130 min,2.7,316,"Comedy, Drama, Fantasy            ",malayalam
11707,tt0284554,Thathamme Poocha Poocha,1984,-,-,-,"Comedy, Drama, Romance            ",malayalam
11712,tt0253296,Natyathara,1955,-,-,-,-,malayalam
11715,tt1874615,Makeup Man,2011,150 min,5.2,264,Comedy            ,malayalam
11726,tt0352174,Annoru Ravil,1986,-,-,-,-,malayalam
11733,tt12211032,Jeevitham Mukhyam Binile..!,2020,5 min,-,-,"Short, Comedy            ",malayalam
11742,-,Untitled Sathyan Biopic,,-,-,-,Biography            ,malayalam
11744,tt3685702,London Bridge,2014,-,4.4,243,"Drama, Romance            ",malayalam
11756,tt0271345,Aavanazhi,1986,156 min,7.3,346,"Action, Crime, Thriller            ",malayalam
11757,tt0352976,Verukal Thedi,1987,-,-,-,-,malayalam
11758,tt11152826,Lalettante Ichakka,2019,-,-,-,"Short, Drama            ",malayalam
11768,tt0271358,Akalathe Ambili,1985,157 min,-,-,Drama            ,malayalam
11774,tt12833264,Tourist Home,2013,106 min,-,-,Thriller            ,malayalam
11783,tt0080698,Esthappan,1980,94 min,6.9,67,Drama            ,malayalam
11784,tt9372978,Nervarennu Immani Cherinjoo.. Taa..,2018,126 min,-,-,"Drama, Romance            ",malayalam
11787,tt0275561,Nulli Novikkathe,1985,-,-,-,-,malayalam
11800,-,Momo in Dubai,2021,-,-,-,Comedy            ,malayalam
11804,tt0400644,Mayilattam,2004,142 min,4.0,104,"Action, Comedy, Drama            ",malayalam
11815,tt1566926,Colors,I 2009,125 min,2.8,129,"Comedy, Drama            ",malayalam
11835,tt0357946,Nandanam,2002,145 min,7.3,782,"Comedy, Drama, Romance            ",malayalam
11838,tt6208132,Kuttikalundu Sookshikkuka,2016,130 min,6.5,20,"Drama, Family            ",malayalam
11840,tt5323568,Puthiya Niyamam,2016,132 min,6.5,"1,474","Mystery, Thriller            ",malayalam
11847,tt3144084,Chaarulatha,2012,116 min,5.3,129,"Horror, Thriller            ",malayalam
11855,tt9261840,Sakala Kalasala,2019,132 min,6.8,756,Comedy            ,malayalam
11863,tt2352820,Pramukhan,2009,125 min,2.0,6,Drama            ,malayalam
11869,tt0279256,Nadee Nadanmare Aavashyamunde,1974,-,-,-,-,malayalam
11872,tt0353739,Mimics Parade,1991,127 min,6.4,125,Comedy            ,malayalam
11878,tt0271348,Aayirappara,1993,141 min,6.0,50,"Action, Comedy, Drama            ",malayalam
11892,tt9642314,The Chain and reality of a drug life,2017,23 min,-,-,"Short, Drama            ",malayalam
11897,tt0318295,Anandam Paramanantham,1977,-,-,-,Drama            ,malayalam
11912,tt0240974,Tharattu,1981,-,-,-,-,malayalam
11921,tt4888138,Lucky Jokers,2011,-,4.0,10,Comedy            ,malayalam
11922,tt3805054,Angry Babies in Love,2014,-,4.6,154,Comedy            ,malayalam
11933,tt0257410,Apoorvam Chilar,1991,123 min,6.3,24,"Comedy, Drama            ",malayalam
11936,tt8269380,Autorsha,2018,133 min,5.7,83,Comedy            ,malayalam
11945,tt0281562,Alibaba and Forty-one Thieves,1975,-,6.2,11,Musical            ,malayalam
11950,tt1102250,Kichamani M.B.A.,2007,-,2.8,81,Comedy            ,malayalam
11951,tt0235329,Daya,1998,-,7.2,142,"Comedy, Drama, Fantasy            ",malayalam
11952,tt0279324,Pennum Ponnum,1974,-,-,-,-,malayalam
11955,tt4597464,Jesus Christ,2004 TV Movie,-,-,-,Biography            ,malayalam
11966,tt0254797,Sthreehridayam,1960,-,-,-,-,malayalam
11973,tt5174016,My Life: En Jeevane,2006 Video,-,-,-,"Short, Romance            ",malayalam
11978,tt10608668,Vikruthi,2019,123 min,7.4,"1,138",Comedy            ,malayalam
11985,tt0389337,Runway,2004,-,6.7,576,"Action, Comedy, Thriller            ",malayalam
11992,tt8785140,Leeyaanns,2018,-,-,-,Drama            ,malayalam
11996,tt1825833,Kandahar,2010,150 min,3.4,332,"Action, Drama            ",malayalam
12017,tt8721556,Jallikattu,2019,95 min,7.5,"6,468","Action, Crime, Thriller            ",malayalam
12020,tt0355256,Bharatheeyam,1997,-,4.1,16,-,malayalam
12028,tt14524680,The Invisible Humans,2020,3 min,9.9,8,Short            ,malayalam
12030,tt0279910,Kuttichattan,1975,-,7.2,10,-,malayalam
12035,tt6616760,The Notion,2018,13 min,7.6,9,"Short, Drama            ",malayalam
12037,tt0317889,Mahabali,1983,123 min,6.6,5,-,malayalam
12047,tt12612932,Amma Ariyathe,2020– ,22 min,8.7,7,Drama            ,malayalam
12048,tt0280996,Niramaala,1975,-,-,-,-,malayalam
12055,tt0333695,Kaalam,1982,-,-,-,-,malayalam
12067,tt8517272,Chola,2019,120 min,5.5,281,"Drama, Thriller            ",malayalam
12070,tt12435106,The Cure,VII 2019,4 min,-,-,"Short, Drama, Thriller            ",malayalam
12082,tt0356740,Iniyoru Janmabhumi,2002,-,-,-,-,malayalam
12087,tt0254618,Ollathu Mathi,1967,-,-,-,-,malayalam
12099,tt9877846,Prashna Parihara Shala,2019,125 min,3.7,10,"Action, Drama            ",malayalam
12100,tt6792666,Gemini,IV 2017,133 min,5.3,26,Drama            ,malayalam
12106,tt13028414,Nirangal,2016,15 min,-,-,"Short, Drama            ",malayalam
12117,tt0252691,Mariakutty,1958,-,-,-,-,malayalam
12122,tt0355759,Mayoora Nritham,1996,-,6.9,18,-,malayalam
12133,tt0811145,Vargam,2006,142 min,6.1,128,"Action, Crime            ",malayalam
12181,tt9871804,Ilayaval Gayathri,2018– ,23 min,-,-,Drama            ,malayalam
12184,tt0353411,Ennum Nanmakal,1991,131 min,6.6,48,Drama            ,malayalam
12186,tt0156162,Vamsa Vruksham,1980,-,7.0,33,Drama            ,malayalam
12187,-,The Chase,II 2021,-,-,-,Thriller            ,malayalam
12192,tt5821424,Thoppil Joppan,2016,129 min,5.7,"2,005","Comedy, Drama            ",malayalam
12200,tt0355624,Kakkakum Poochakkum Kalyanam,1995,153 min,5.2,50,"Comedy, Romance            ",malayalam
12218,tt1102288,November Rain,2007,-,-,-,-,malayalam
12221,tt1852141,The Pooram at Thrissur,2002 Video,-,-,-,"Short, Drama            ",malayalam
12234,tt0318356,Chandrahasam,1980,137 min,7.2,5,Drama            ,malayalam
12253,tt1102296,Pranayakalam,2007,-,5.3,28,"Drama, Romance            ",malayalam
12256,-,Son of Gangster,2021,-,-,-,"Action, Thriller            ",malayalam
12271,tt0271557,Idanilangal,1985,140 min,7.4,27,Drama            ,malayalam
12282,tt5420222,Pachakallam,2016,125 min,3.6,8,"Action, Thriller            ",malayalam
12284,-,Chunks 2,,-,-,-,Drama            ,malayalam
12289,tt0076277,Kodiyettam,1977,137 min,7.4,93,Drama            ,malayalam
12294,tt10372162,Stand Up,I 2019,118 min,5.7,113,"Crime, Drama, Family            ",malayalam
12300,tt0352674,Onnu Randu Moonu,1986,-,-,-,-,malayalam
12301,tt0399323,Malsaram,2003,-,3.9,16,-,malayalam
12305,tt0213961,Odeyil Ninnu,1965,175 min,8.0,55,Drama            ,malayalam
12309,tt0979931,The Photo,2005,21 min,-,-,"Short, Drama            ",malayalam
12311,-,Devika,,122 min,-,-,Drama            ,malayalam
12338,tt0279166,Kanyakumari,1974,-,6.4,25,"Drama, Romance            ",malayalam
12342,tt13752212,PUKA- The killing smoke,2019,33 min,-,-,Short            ,malayalam
12343,tt9244334,Aadya Rathri,2019,129 min,4.7,244,Comedy            ,malayalam
12349,tt0274006,Professor,1972,-,-,-,-,malayalam
12358,tt0253498,Postmortem,1982,-,4.4,7,-,malayalam
12359,tt9566882,Appu in search of truth,II 2019,105 min,4.8,5,Drama            ,malayalam
12364,tt0354150,Vairam,1993,-,-,-,-,malayalam
12380,tt0268471,Mukkuvane Snehicha Bhootham,1978,134 min,-,-,-,malayalam
12384,tt0155906,Neelakkuyil,1954,182 min,7.8,41,Drama            ,malayalam
12388,tt4112416,Tamaar Padaar,2014,137 min,5.1,243,Comedy            ,malayalam
12391,tt0353187,Annakutty Kodambakkam Vilikkunnu,1989,-,5.5,6,-,malayalam
12395,tt5361436,Karie,2015,103 min,8.1,13,"Comedy, Drama, Family            ",malayalam
12406,tt0267576,Iniyum Puzha Ozhukum,1978,-,-,-,-,malayalam
12409,tt7585270,Theevandi,2018,144 min,6.6,"1,264",Comedy            ,malayalam
12425,tt2324126,Doctor Innocentanu,2012,142 min,2.4,25,"Comedy, Drama            ",malayalam
12435,tt9315194,Chembarathi,2018– ,23 min,-,-,"Drama, Family, Romance            ",malayalam
12460,tt0353285,Chanchattam,1991,-,4.3,19,"Comedy, Drama            ",malayalam
12471,-,Kadalasupuli,,122 min,-,-,Comedy            ,malayalam
12474,tt8512330,Marubhoomiyile Mazhathullikal,2018,104 min,4.0,7,Drama            ,malayalam
12486,tt0257964,Nishagandhi,1970,-,-,-,-,malayalam
12487,tt0277380,Thekkan Kattu,1973,-,-,-,-,malayalam
12496,tt0282723,Mark Antony,2000,134 min,3.9,33,"Action, Thriller            ",malayalam
12502,-,Kanakam Kaamini Kalaham,,-,-,-,Comedy            ,malayalam
12506,tt0253958,Yachakan,1951,-,-,-,-,malayalam
12510,tt0269181,Edavelakku Sesham,1984,-,5.3,6,-,malayalam
12523,tt0281017,Oru Yatra,1999,-,-,-,Drama            ,malayalam
12525,tt3885682,Hi I'm Tony,2014,-,5.5,307,Thriller            ,malayalam
12528,tt0356124,Three Men Army,1995,-,4.6,65,"Comedy, Romance            ",malayalam
12530,tt11317908,Sullu,2019,102 min,6.6,70,"Drama, Thriller            ",malayalam
12560,tt0280433,Aparaajitha,1977,-,-,-,-,malayalam
12568,tt0370256,Adyamayi,1990,-,-,-,-,malayalam
12569,tt0333052,Abhinayam,1981,-,8.2,6,Drama            ,malayalam
12575,tt0355645,Keerthanam,1995,-,-,-,-,malayalam
12585,tt0355738,Mandrika Kuthira,1996,-,5.1,14,Thriller            ,malayalam
12591,tt0274703,Panitheeratha Veedu,1973,-,8.0,5,-,malayalam
12594,tt0275708,Super Hero S.P. Parasuram,1996,-,-,-,-,malayalam
12595,tt13620602,Kiranam (The ray of hope),2019,30 min,-,-,Short            ,malayalam
12599,tt0214915,Manichitrathazhu,1993,169 min,8.7,"9,044","Comedy, Horror, Music            ",malayalam
12606,tt1028559,Nasrani,2007,149 min,4.2,274,"Action, Drama, Mystery            ",malayalam
12617,tt1102308,Pulijanmam,2006,87 min,7.3,38,"Drama, Fantasy            ",malayalam
12624,tt0331938,Chuvanna Chirakukal,1979,-,-,-,-,malayalam
12634,-,Simon Daniel,,-,-,-,"Action, Thriller            ",malayalam
12641,tt0355641,Karunyam,1997,-,7.3,76,Drama            ,malayalam
12654,tt0241021,Uthrada Rathri,1978,-,-,-,-,malayalam
12658,tt0270044,Vetta,1984,-,6.6,7,-,malayalam
12659,tt0333696,Kaaval Maadam,1980,-,-,-,-,malayalam
12662,tt0316719,Swathithamburatti,2001,-,-,-,-,malayalam
12675,tt6006558,With Her,2016,70 min,-,-,Drama            ,malayalam
12684,-,Velleppam,,-,-,-,Comedy            ,malayalam
12694,tt0319839,Mazhamegapravukal,2001,-,-,-,-,malayalam
12713,tt0353606,Kambolam,1994,123 min,5.8,12,-,malayalam
12719,tt0229986,Amrutham Gamaya,1987,-,7.3,187,Drama            ,malayalam
12721,tt0268539,Pockettadikkari,1978,-,-,-,-,malayalam
12726,tt0404295,Onnam Ragam,2003,-,-,-,Romance            ,malayalam
12738,tt0332760,Shuddi Kalasham,1979,-,-,-,-,malayalam
12744,tt0282845,Piriyilla Naam,1984,-,-,-,"Action, Drama            ",malayalam
12757,tt0483180,Thanmathra,2005,160 min,8.4,"3,856",Drama            ,malayalam
12762,tt0352911,Thaala,1988,-,-,-,-,malayalam
12786,tt0254499,Kochumon,1965,-,-,-,-,malayalam
12809,tt0252909,Achanum Makanum,1957,-,-,-,-,malayalam
12816,-,Adukkala,,-,-,-,"Drama, Family            ",malayalam
12820,-,Valatty,2021,-,-,-,Comedy            ,malayalam
12824,tt0235614,Neela Kannukal,1974,-,-,-,-,malayalam
12825,tt0271791,Snehamulla Simham,1986,-,7.1,118,"Drama, Romance            ",malayalam
12831,tt3986188,Candle - Malayalam Movie,2013,20 min,6.9,15,"Short, Mystery            ",malayalam
12841,tt0254157,Awal,1967,142 min,-,-,-,malayalam
12842,tt0333114,Ayudham,1982,-,-,-,-,malayalam
12851,tt0363110,Swami Ayyappan,1975,139 min,7.3,23,Drama            ,malayalam
12854,tt0273800,Mayajalam,1998,-,4.6,24,Comedy            ,malayalam
12860,tt5436158,Oozham,2016,140 min,6.0,"1,202","Action, Drama, Thriller            ",malayalam
12862,tt5969956,Dhakshina,2016,-,-,-,"Short, Drama            ",malayalam
12889,tt1722459,Thanthonni,2010,151 min,4.9,295,"Action, Drama            ",malayalam
12894,tt0255402,My Dear Karady,1999,145 min,4.8,84,Comedy            ,malayalam
12911,tt2854408,By the People,2005,-,3.2,27,Action            ,malayalam
12916,-,Adinasham Vellapokkam,,-,-,-,Comedy            ,malayalam
12944,tt0228808,Sallapam,1996,141 min,6.5,198,"Drama, Musical, Romance            ",malayalam
12953,tt14097268,Meghamaayi,2020,-,-,-,"Short, Romance            ",malayalam
12961,tt5491352,Nawal Enna Jewel,2017,90 min,6.9,11,Drama            ,malayalam
12971,-,Maheshum Marutiyum,2021,-,-,-,Comedy            ,malayalam
12972,tt3134214,Kadal Kadannu Oru Maathukutty,2013,-,5.1,309,Comedy            ,malayalam
12975,tt0235363,Eenam Maranna Kattu,1988,-,-,-,-,malayalam
12977,tt5879394,Calling Bell,2016,142 min,3.0,6,Drama            ,malayalam
12979,-,Kazhukan,,-,-,-,"Short, Thriller            ",malayalam
12991,tt0271730,Prathyekam Sradhikuka,1986,-,-,-,-,malayalam
12998,tt0430710,Udayananu Tharam,2005,162 min,7.9,"2,001",Comedy            ,malayalam
13001,tt0090634,Amma Ariyan,1986,115 min,7.1,168,Drama            ,malayalam
13006,tt1102223,Heart Beats,2007,-,4.3,21,"Comedy, Romance            ",malayalam
13021,tt7919378,When two kiss,2017,71 min,-,-,"Documentary, Drama            ",malayalam
13056,tt1521023,Loudspeaker,2009,162 min,7.4,839,Drama            ,malayalam
13057,tt0215104,Rachana,1983,149 min,6.8,19,Drama            ,malayalam
13069,tt7720604,Touch Me Touch Me,1997,-,-,-,Thriller            ,malayalam
13073,tt4511460,Aadu,2015,142 min,6.9,"1,137","Action, Comedy            ",malayalam
13079,tt0345825,Punya Yathra,1982,-,-,-,Musical            ,malayalam
13085,tt0271623,Makan Ente Makan,1985,129 min,5.9,8,Drama            ,malayalam
13096,tt0275646,Sammelanam,1985,116 min,-,-,-,malayalam
13109,tt0333488,Garudan,1982,-,-,-,-,malayalam
13115,tt8046270,Pedithondan,2014,-,-,-,Comedy            ,malayalam
13125,tt1732659,In Ghost House Inn,2010,136 min,5.9,554,"Comedy, Horror            ",malayalam
13140,tt9906644,Manoharam,2019,122 min,6.8,595,"Comedy, Drama            ",malayalam
13142,tt5082014,Charlie,VII 2015,130 min,8.0,"8,334","Adventure, Drama, Romance            ",malayalam
13143,tt0353429,Evalente Kamuki,1989,-,-,-,-,malayalam
13146,tt0353152,Aavanikunnile Kinnaripookkal,1991,-,-,-,Drama            ,malayalam
13152,tt0279464,Thmamara Thoni,1975,-,-,-,-,malayalam
13159,tt0268903,Alakadalinakkare,1984,-,5.4,9,-,malayalam
13168,tt10137480,AARYAN,1988,-,-,-,Drama            ,malayalam
13169,tt0292219,Sanchari,1981,-,5.5,13,Action            ,malayalam
13172,tt0352772,Rekthabhishekam,1986,-,-,-,-,malayalam
13173,tt0353481,Gazal,1993,-,6.1,25,"Drama, Music            ",malayalam
13177,tt0280808,Kaduvaye Pidicha Kiduva,1977,-,-,-,-,malayalam
13180,tt2334739,Masters,2012,144 min,5.7,447,"Action, Mystery, Thriller            ",malayalam
13187,tt0356210,Yuvasakthi,1997,126 min,-,-,-,malayalam
13191,tt4922740,Rasputin,2015,116 min,3.8,60,"Comedy, Drama            ",malayalam
13213,tt0403644,Uthara,2003,-,-,-,-,malayalam
13220,tt3685728,Mannar Mathai Speaking 2,2014,-,2.9,135,Comedy            ,malayalam
13221,tt0354158,Varnam,1989,-,5.4,32,"Comedy, Drama, Romance            ",malayalam
13223,tt2861752,Karma Currency,2013,16 min,-,-,"Short, Drama            ",malayalam
13224,tt0255672,Vazhi Pizhacha Santhathy,1968,-,-,-,-,malayalam
13247,tt0273938,Panjaloham,1998,135 min,-,-,-,malayalam
13262,tt0281944,Kallante Kamuki,1975,-,-,-,-,malayalam
13290,tt0292166,Paadha Mudhra,1988,144 min,6.6,138,Drama            ,malayalam
13291,tt12819438,Hridayamithu Madbaha - Najim Arshad,2020 Video,7 min,-,-,"Short, Musical            ",malayalam
